visit_id,ad_hash,ocr_text
3526234065247524,cf0d5caf1fd5,== iscover This One Undervalued The Worst Zip Codes for Auto The Undervalued Power Provider That Nasdaq Company Poised To Become _Insurance in South Carolina Al Hyperscalers May Soon Fight For The Next Al Powerplay orTo insurance SPONSORED rina NewsNow SPONSORED (Learn More
3526234065247524,cea1f17989db,"oa ee * oe"" i Albany woman sentenced for deadly DWI crash that sent 3 bodies discovered inside auctioned off home that was car airborne sold ‘as is’"
3526234065247524,bd5495ec84df,"Pie te: me fh Max sentence for woman responsible Second body found in same canal In Troy, public disagreement is for drunk driving collision that killed where murder victim found turning into vandalism 25-year-old"
3526234065247524,57571c0ec84e,Doctors Say Memory Loss Has Been Linked to This Here's What New Roofs Cost In 2026 Common Daily Drink - Are You at Risk? (tearm More)
3526234065247524,7fcdac6542c4,"Man involved in crash kidnapped witness who "" tried to call 911, drove her car for hours"
3526234065247524,6734e3396093,"Discover This One Undervalued The Worst Zip Codes for Auto The Undervalued Power Provider That Nasdaq Company Poised To Become _Insurance in South Carolina Al Hyperscalers May Soon Fight For The Next Al Powerplay sonsonto srowsoneo (team Mare) Doctors Say Memory Loss Has Been Linked to This Here's What New Roofs Cost In 2026 Common Daily Drink - Are You at Risk? SPONSORED =_ i rie a Aas Max sentence for woman responsible Second body found in same canal In Troy, public disagreement is for drunk driving collision that killed where murder victim found turning into vandalism 25-year-old Albany woman sentenced for deadly DWI crash that sent 3 bodies discovered inside auctioned off home that was car airborne sold ‘as is’"
8235749832420898,4bca1c634932,it SOUTHERN ae
8235749832420898,fe47816b09f2,ENTERTAINMENT NEV
8235749832420898,b2ce8f609e7e,ee | MEA lee) lee cil nye a
8235749832420898,0d181345cbbe,SOUTHERN CALIFORNIA'S NEWS LEADER
8235749832420898,44175bdbe476,ement ENTERTAINMENT NEWS
8235749832420898,4161e25966b0,CONT A=) ia ps a ier Uae
8235749832420898,8c99bedc82b7,MEA lee) lee
8609475681290980,f77b9e4d7a3c,We'got you with a10-Yr/ 100K-Mile EV Limited Battery Warranty. The all-electric 2026 IONIQ 5.
8609475681290980,dddb2c8b218a,We'got you with a10-Yr/ 100K-Mile EV Limited Battery Warranty. The all-electric 2026 IONIQ 5.
1860359804314075,06cb69a1f50e,Don't wait. Take payments t... BD see Get Square now.
1860359804314075,bc33eaa5b511,eee 7 eal ; UNIVERSAL a= | b 5 A
1860359804314075,fe5fceb57f3d,= Never Lose Your Recipes Again! recipes
1860359804314075,80cf3b41d7fb,Cat = nN Advertisement
1860359804314075,e398b19bfda0,SHOP NOW Advertisement
1860359804314075,5c8c3a818669,i .. » See Get started with Square Register today. Advertisement
1860359804314075,d3e6a6918d9c,Don't wait. Take payments t... BD see Get Square now. Advertisement
1860359804314075,62a57c03e4dc,le Never Lose Your (sine) Re = Recipes Again! myrecipes =
1860359804314075,b301cb514af1,Get started with Square Register today.
1860359804314075,189e2312e35a,Cat = nN Advertisement
1860359804314075,22e3ad11fdac,o> eae SSP Lolo . op
1860359804314075,239adbe5a42a,o> eae SSP Lolo op
8517438967050999,56a83e162a6b,Experience your Small Towne MEE Charm. Big Opportunities
8517438967050999,19b115ec0dc7,Experience your Small Towne MEE Charm. Big Opportunities
8517438967050999,2d5bd4ec28bd,i oes BLUE COLLAR PLAY OF THE WEEK Ed snl Pee A Creed <START FREE TRIAL 7 RTT Li—4
8517438967050999,ff845abb278b,i oes BLUE COLLAR PLAY OF THE WEEK Ed snl Pee A Creed <START FREE TRIAL 7 RTT Li—4
8517438967050999,afb926d7b158,MEET DEADLINES Tas
8517438967050999,f05f55665d54,MEET DEADLINES Tas
320134104768865,9da895e95397,Ralph Lauren Polo EDT 5m Travel ‘Spray Decant Sample Men $12.99 $14.99 Try Ralph Lauren Polo Eau de Toilette in this SmI travel spray sample for men... ‘Ad MicroPerfumes.com
320134104768865,4a9670eadccd,Advertisement
320134104768865,4c2b7bdb7cac,‘Spray WD-40 Inside Your Toilet Always Spray WD-40 in Your Toilets Ad LifeHack Guru
320134104768865,890004570e81,@ Get a personalized rate for YOUR PROGRESSIVE _f. ~~ safe driving with Snapshot® ot Ea
320134104768865,f5b857820c0a,"If You Have $50,000 or More in Savings Do This"
320134104768865,42eeada636bc,Advertisement ‘Spray WD-40 Inside Your Toilet Always Spray WD-40 in Your Toilets Ad LifeHack Guru
320134104768865,9121535485d4,L) Get a personalized rate for YOUR PROGRESSIVE -f A. safe driving with Snapshot? ] cetacuote |
320134104768865,1d9045eafa26,Advertisement Ralph Lauren Polo EDT 5m Travel ‘Spray Decant Sample Men $12.99 $14.99 Try Ralph Lauren Polo Eau de Toilette in this SmI travel spray sample for men... ‘Ad MicroPerfumes.com
320134104768865,520a5d2235e6,Advertisement
320134104768865,ac9aa4683c6d,aaa VEE EU TET WE aC COTTA Explora planes
320134104768865,e1a92bc438bc,rrictoperfumes
320134104768865,801d184e1d80,"If You Have $50,000 or More in Savings Do This"
320134104768865,aedd66ee34fd,"B fj: If You Have $50,000 or More in Savings Do This"
320134104768865,c509211c78bc,a ea aaneT a CAT $946 AVERAGE SAVINGS FOR NEW CUSTOMERS WHO SAVE reer
320134104768865,eec3503ab5ef,REY RO te a) en Uae TSC
320134104768865,a36ad21530a0,SO scvorisciment aaa VEE EU TET WE aC COTTA Explora planes
320134104768865,057a5235fab9,TUE Cal 2 RTE Pa ae TT TN TUT TS er td]
320134104768865,bca67cae618b,SE ae = Be Trane eis SAVINGS FOR NTN RGE SLO) Vis csy WHO SAVE ee
320134104768865,c2a026890f79,ra \ eZ Z ~ « | Nea et ater | NT ee) i
320134104768865,a09713059882,ah Cay PM aa ei ed Serer Cee eong
3130768083561646,24e31d056c11,She Hung This Wooden House Outside-then @ Hummingbirds Appeared 6 Sponsored by Peoasis
3130768083561646,58e874265da5,She Hung This Wooden House Outside-then @ Hummingbirds Appeared 6 Sponsored by Peoasis
5218710453576950,d53812d918d8,ee) Cazenovia school board vice president arrested in child sex Police release identities of people killed in wrong way misconduct case Inner Loop crash
5218710453576950,cb531badf3d9,"a a WESTER, - 4 people arrested for robbery in 6 arrested after video captures off home that was sold ‘as is’ downtown Rochester bungee jumper thrown from Skeleton’ bridge without cord"
5218710453576950,af4010b2ce26,"Not a crocodile or alligator, this predator is TNE lela ana lela toy"
5218710453576950,8f8c2c6804ff,ION: WNBA All Season WNBA on ION fon Open
5218710453576950,673a7ae3165d,Free Car Insurance Seniors Best Car Insurance Seniors Over 70 Auto Insurance for Seniors Over 70 Best Phone Plans Seniors Related Searches The Undervalued Power Provider That Al Hyperscalers May Yahoo | SPONSORED Soon Fight For Financial News Now | SPONSORED
5218710453576950,c171a44f7f40,ION: WNBA All Season WNBA on ION fon Open
5218710453576950,0ed1a2534bea,"How To Drain Lymph Fluid In Ankles & — Most People Don't Use This Tip for The Quiet Reason Names and Words Legs? It's Simple in Spring, But it Works Like Magic Feel Slower After 50 — and What Movingoo | SPONSORED amoose | SPONSORED Helps Tranquil | SPONSORED Free Car Insurance Seniors Best Car Insurance Seniors Over 70 Auto Insurance for Seniors Over 70 Best Phone Plans Seniors Related Searches The Undervalued Power Provider That Al Hyperscalers May Yahoo | SPONSORED (Ctearnmore) Soon Fight For (tearm more _) —\ Financial Now | SPONSORED (_ Learn More C 3 bodies discovered inside auctioned _4 people arrested for robbery in 6 arrested after video captures off home that was sold ‘as is’ downtown Rochester bungee jumper thrown from Skeleton’ bridge without cord If You're Collecting Under $3950 In SS a Month: You're Eligible for These 10 Discounts — ilverPenny > (Learn more \ @wnam Cazenovia school board vice president arrested in child sex Police release identities of people killed in wrong way misconduct case Inner Loop crash"
5218710453576950,31fb9e2bb158,If You're Collecting Under $3950 In SS a Month: You're Eligible for These 10 Discounts soc (earn more)
5218710453576950,462ef2a17aa9,"How To Drain Lymph Fluid In Ankles & Most People Don't Use This Tip for The Quiet Reason Names and Words Legs? It's Simple Mice in Spring, But it Works Like Magic Feel Slower After 50 — and What ingoo | SPONSORED vamoose | SPONSORED Helps Tranquil | SPONSORED"
8416566640558525,99e856757f68,Discover more _ & Free Online Games Mobile Browser Games ® puzzle Online Gaming Tournaments | @ jigsaw puzzle | Toys
8416566640558525,adfa6fa11d04,ZAMS a EX RS BUSINESS CASH” CARD EARN 2% CASH BACK first $50K per 25.1% ply. after that. Term NO ANNUAL FEE Rates & amex/bbert LEARN MORE
8416566640558525,fa7aecbeb8f4,ZAMS a EX RS BUSINESS CASH” CARD EARN 2% CASH BACK first $50K per 25.1% ply. after that. Term NO ANNUAL FEE Rates & amex/bbert LEARN MORE
6739145671248585,365b69e4d5ba,C 9 Make any image editable
6739145671248585,56109f1ebdf4,"(000, Voaeny"
3693558650584675,661f2d04f89c,"Discover more v If You're Collecting Under $3,950 In SS a Month: You're Eligible for These 10 Discounts ©"
3693558650584675,9b162113da6c,"If You're Collecting Under $3,950 In SS a Month: You're Eligible for These 10 Discounts ©"
3693558650584675,8c38e66ac34f,"fail If You're Collecting Under $3,950 In SS a Month: You're Click h. Eligible for These 10 Discounts"
3693558650584675,e856c332f196,(@ Instore} ame) {9 In store} (in store]
3693558650584675,41fdd4b7180d,"fail If You're Collecting Under $3,950 In SS a Month: You're Click h. Eligible for These 10 Discounts"
3693558650584675,793746fbe374,(Qin store} (Qin store] Carvana
3693558650584675,9c3cc6ca9925,"If You're Collecting Under $3,950 In SS a Month: You're Eligible for These 10 Discounts ©"
5853186415579058,b125e3ac606f,CEBEEE OD» | > LEARN MORE
5853186415579058,907fe1d74690,a Iau ae HOT GAMES | LOW PRICES EXCLUSIVE DEALS : y | stopNow |
5853186415579058,6749516390f8,> LEARN MORE a ‘ADVERTISEMENT.
8982642162008535,a5ece2c81e57,Selling Out Fast: The Greenville Device Replacing Expensive AC Units.
